Sentence reading task,,,,,,,,,,,"""para""",,,,"""para""",,,Taps target tokens,,,,,
Sentence,Tap,Trill,Duration tap,Duration ,Occlusions,PARA,Duration,,Occlusions,,Duration,Occlusions,,,Duration,Occlusions,,TRUE n =37 target tokens,,Frication n =3 target tokens,,Approximant n =26 target tokens,
Imagen A,,Correr,,62,2 + frication (dr),,,,,,,,,,,,,,,,,,
Imagen A,Correr,,N/P,,,N/P: not present,,,,,,,,,,,,,,,,,
Imagen A,,Perros,,83,1 + frication (dr),,,,,,,,,,,,,,,,,,
Imagen B,Caminar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen B,,Arroz,,69,1 + frication (dr),,,,,,,,,,,,,,,,,,
Imagen C,Caminar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen C,Lavar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen C,Mujer,,25,,1 True,"NOTE: participante said ""mujera""",,,,,,,,,,,,,,,,,
Imagen C,,Ropa,,45,0 approximant + aspiration,,,,,,,,,,,,,,,,,,
Imagen D,,Correr,,86,2 + frication (dr),,,,,,,,,,,,,,,,,,
Imagen D,Correr,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen D,Toro,,16,,1 True,,,,,,,,,,,,,,,,,,
Imagen D,Atacar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen E,Lavar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen E,Mujer,,30,,approximant,,,,,,,,,,,,,,,,,,
Imagen E,Cara,,27,,approximant,,,,,,,,,,,,,,,,,,
Imagen F,Tocar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen F,Mujer,,26,,,,,,,,,,,,,,,,,,,,
Imagen F,,Guitarra,,18,0,,,,,,,,,,,,,,,,,,
Imagen F,,Reir,,N/P,,,,,,,,,,,,,,,,,,,
Imagen F,Reir,,30,,1 True,,,,,,,,,,,,,,,,,,
Imagen G,Dar,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen G,,Rojo,,N/P,,,,,,,,,,,,,,,,,,,
Imagen G,,Zorro,,42,0,,,,,,,,,,,,,,,,,,
Imagen G,Flor,,N/P,,,,,,,,,,,,,,,,,,,,
Imagen H,,Rojo,,96,2 + frication (dr),,,,,,,,,,,,,,,,,,
Imagen H,Girar,,16,,approximant /d/,,,,,,,,,,,,,,,,,,
Imagen H,Girar,,43,,approximant,,,,,,,,,,,,,,,,,,
Imagen H,,Carro,,69,1 + frication (dr),,,,,,,,,,,,,,,,,,
Imagen H,,Rápido,,56,1 + frication (dr),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,,,,,,,,,,,,,,,
,,,26.625,62.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Forced choice,Not included in post task for Sp101,,,,,,,,,,,,,,,,,,,,,,
Preguntas,Tap,Trill,,Duration ,Occlusions,,,,,,,,,,,,,,,,,,
1,,correr,,,,,,,,,,,,,,,,,,,,,
1,correr,,,,,,,,,,,,,,,,,,,,,,
1,caminar,,,,,,,,,,,,,,,,,,,,,,
2,comer,,,,,,,,,,,,,,,,,,,,,,
2,,restaurantes,,,,,,,,,,,,,,,,,,,,,
2,cocinar,,,,,,,,,,,,,,,,,,,,,,
3,,rojo,,,,,,,,,,,,,,,,,,,,,
3,,rosado,,,,,,,,,,,,,,,,,,,,,
4,,ropa,,,,,,,,,,,,,,,,,,,,,
4,cara,,,,,,,,,,,,,,,,,,,,,,
4,,ropa,,,,,,,,,,,,,,,,,,,,,
4,barata,,,,,,,,,,,,,,,,,,,,,,
5,peras,,,,,,,,,,,,,,,,,,,,,,
5,moras,,,,,,,,,,,,,,,,,,,,,,
6,,carro,,,,,,,,,,,,,,,,,,,,,
6,,carro,,,,,,,,,,,,,,,,,,,,,
7,,arroz,,,,,,,,,,,,,,,,,,,,,
7,cereal,,,,,,,,,,,,,,,,,,,,,,
8,cortar,,,,,,,,,,,,,,,,,,,,,,
8,cortar,,,,,,,,,,,,,,,,,,,,,,
8,comprar,,,,,,,,,,,,,,,,,,,,,,
9,,gorra,,,,,,,,,,,,,,,,,,,,,
9,,correa,,,,,,,,,,,,,,,,,,,,,
10,tener,,,,,,,,,,,,,,,,,,,,,,
10,,rutina,,,,,,,,,,,,,,,,,,,,,
11,limpiar,,,,,,,,,,,,,,,,,,,,,,
11,lavar,,,,,,,,,,,,,,,,,,,,,,
12,,perro,,,,,,,,,,,,,,,,,,,,,
12,,burro,,,,,,,,,,,,,,,,,,,,,
